SCHOOL,CLASS,CHILD,COMBI,SIZE,SSES,GIRL,MINORITY,SITTERS,CSES,IQV,IQP,PRE_LANG,POST_LANG,PRE_ARITH,POST_ARITH
64,6480,1023,0,23,22,1,0,0,20,10,9,,36,,7
64,6480,1024,0,23,22,0,0,0,25,10.5,7.3333333333,,36,,12
64,6480,1025,0,23,22,1,0,1,23,12.5,10,27,46,4,17
64,6480,1026,0,23,22,0,0,0,23,,8.3333333333,28,31,5,10
64,6480,1027,0,23,22,0,0,0,34,13.5,10,28,27,6,20
64,6480,1028,0,23,22,0,0,0,31,12,10.666666667,40,41,7,13
64,6480,1029,0,23,22,0,0,0,38,11.5,10.333333333,19,39,7,19
64,6480,1030,0,23,22,0,0,0,37,11,12.333333333,24,47,7,28
64,6480,1031,0,23,22,1,0,0,28,10,7.3333333333,27,41,9,10
64,6480,1032,0,23,22,0,0,1,29,13,11.666666667,25,37,9,23
64,6480,1033,0,23,22,0,1,0,11,9.5,6.6666666667,24,26,10,14
64,6480,1034,0,23,22,1,0,1,17,12.5,11.333333333,31,44,11,14
64,6480,1035,0,23,22,0,0,0,19,10,8.6666666667,29,43,11,19
64,6480,1036,0,23,22,1,0,0,45,13,8.3333333333,33,44,11,23
64,6480,1037,0,23,22,1,1,0,11,10.5,10.333333333,20,34,12,16
64,6480,1038,0,23,22,1,0,0,45,13.5,12.333333333,38,47,12,20
64,6480,1039,0,23,22,1,0,0,43,12.5,10,29,46,13,19
64,6480,1040,0,23,22,1,0,0,39,13,13,35,50,15,22
64,6480,1041,0,23,22,0,0,0,31,13,12,34,52,15,23
64,6480,1042,0,23,22,1,0,0,46,13.5,12.666666667,32,56,16,22
64,6480,1043,0,23,22,1,0,0,41,14,15,36,52,16,29
64,6480,1044,0,23,22,0,0,0,45,15.5,14.666666667,45,51,16,29
65,6580,1045,1,32,29,0,0,0,18,15,14.659999847,44,57,19,29
65,6580,1046,1,32,29,0,0,0,30,11,8.3330001831,27,51,8,28
65,6580,1047,1,32,29,0,0,0,25,10,9.6660003662,31,43,13,14
65,6580,1048,1,32,29,0,0,0,13,16,12.329999924,35,43,19,30
65,6580,1049,1,32,29,0,0,0,43,12.5,13.329999924,23,43,14,25
65,6580,1050,1,32,29,0,0,0,15,12,11.659999847,35,43,10,20
65,6580,1051,1,32,29,0,0,0,43,11.5,14,35,54,17,29
65,6580,1052,1,32,29,1,0,0,13,9.5,13.329999924,35,33,8,24
65,6580,1053,1,32,29,0,0,0,37,14.5,13.659999847,39,55,17,30
65,6580,1054,1,32,29,0,0,0,40,13.5,11,30,47,15,27
65,6580,1055,1,32,29,1,0,0,33,11.5,10.329999924,24,36,7,22
65,6580,1056,1,32,29,1,0,0,50,12.5,10.329999924,42,55,16,30
65,6580,1057,1,32,29,0,0,0,10,12,10.329999924,29,41,12,23
65,6580,1058,1,32,29,1,0,0,28,12,10.329999924,40,54,18,30
65,6580,1059,1,32,29,1,0,0,37,14.5,14.329999924,41,50,18,30
65,6580,1060,1,32,29,1,0,0,37,11.5,12.659999847,43,54,16,27
65,6580,1061,1,32,29,0,0,0,35,12,8,34,47,9,26
65,6580,1062,1,32,29,0,0,0,13,12,13,30,41,12,25
65,6580,1063,1,32,29,0,0,0,30,13.5,12.329999924,37,50,16,27
65,6580,1064,1,32,29,1,0,1,30,13.5,9.3330001831,32,43,11,27
65,6580,1065,1,32,29,1,0,0,30,11.5,13,26,50,15,27
65,6580,1066,1,32,29,1,0,0,45,14.5,10,44,52,15,29
66,6680,1067,1,30,18,0,0,1,17,9,6.3330001831,37,32,8,15
66,6680,1068,1,30,18,0,0,0,40,14,12.329999924,33,52,14,26
66,6680,1069,1,30,18,0,0,1,17,10.5,11.329999924,36,21,4,9
66,6680,1070,1,30,18,1,0,1,30,11,10.659999847,26,36,8,16
66,6680,1071,1,30,18,1,0,0,37,11,13.329999924,35,49,16,21
66,6680,1072,1,30,18,1,0,1,33,11,10.659999847,28,37,9,14
66,6680,1073,1,30,18,1,0,1,33,10.5,11.659999847,28,28,9,17
66,6680,1074,1,30,18,1,0,0,37,16.5,14.659999847,42,50,14,24
66,6680,1075,1,30,18,0,0,0,30,14,13.659999847,36,47,17,25
66,6680,1076,1,30,18,0,0,1,30,11.5,10.329999924,38,35,9,8
66,6680,1077,1,30,18,0,0,0,33,15.5,9.6660003662,40,52,16,28
67,6780,1078,0,28,15,1,0,0,37,15.5,17,44,52,14,22
67,6780,1079,0,28,15,0,0,0,20,11,8.3330001831,36,39,10,11
67,6780,1080,0,28,15,0,0,1,20,12,8,32,25,12,5
67,6780,1081,0,28,15,0,0,0,27,10.5,9.6660003662,33,25,8,14
67,6780,1082,0,28,15,1,0,0,30,13,6,34,38,9,11
67,6780,1083,0,28,15,0,0,0,23,11.5,11,32,31,10,10
67,6780,1084,0,28,15,0,0,0,17,9,6.6659998894,20,26,9,10
67,6780,1085,0,28,15,1,0,0,23,12.5,12.329999924,33,35,9,15
67,6780,1086,0,28,15,0,0,0,37,12.5,13.329999924,38,29,13,22
67,6780,1087,0,28,15,0,0,0,30,9.5,13,32,32,11,23
67,6780,1088,0,28,15,0,0,0,27,13,9.6660003662,30,34,16,20
67,6780,1089,0,28,15,1,0,0,40,13.5,13.659999847,41,51,15,27
67,6780,1090,0,28,15,1,0,0,30,15,14.329999924,39,47,14,12
67,6780,1091,0,28,15,0,0,0,33,15.5,10.659999847,40,39,15,16
67,6780,1092,0,28,15,1,0,0,27,13,9.6660003662,35,39,9,19
67,6780,1093,0,28,15,0,0,0,43,11.5,12,30,27,13,15
67,6780,1094,0,28,15,1,0,0,40,16,15.329999924,34,45,16,19
67,6780,1095,0,28,15,0,0,0,23,10,12.329999924,31,32,11,17
67,6780,1096,0,28,15,1,0,0,27,10.5,10.329999924,37,41,13,16
67,6780,1097,0,28,15,1,0,0,28,10.5,16,31,38,12,24
67,6780,1098,0,28,15,1,0,0,37,14,12.659999847,30,40,11,14
67,6780,1099,0,28,15,0,0,0,20,16,11.659999847,39,39,13,22
67,6780,1100,0,28,15,1,0,0,30,9.5,11.329999924,32,29,13,15
67,6780,1101,0,28,15,1,0,0,20,11,13,33,40,10,18
67,6780,1102,0,28,15,1,0,0,40,10.5,7.6659998894,32,32,10,7
67,6780,1103,0,28,15,1,0,1,20,11,8.3330001831,16,17,9,11
68,6880,1104,0,23,13,1,0,0,17,11,10.333333333,38,,10,
68,6880,1105,0,23,13,1,0,0,20,15,13,39,50,15,23
68,6880,1106,0,23,13,0,0,0,18,13.5,9.6660003662,28,38,13,12
68,6880,1107,0,23,13,0,0,0,20,14,9.6660003662,41,47,15,28
68,6880,1108,0,23,13,0,0,0,23,15,11.329999924,32,41,11,18
68,6880,1109,0,23,13,1,0,0,20,14.5,11.329999924,41,50,12,14
68,6880,1110,0,23,13,1,0,0,25,11.5,9.3330001831,29,38,18,24
68,6880,1111,0,23,13,1,0,0,15,13.5,13,32,47,16,25
68,6880,1112,0,23,13,1,0,0,18,11,8.3330001831,31,27,12,15
68,6880,1113,0,23,13,0,0,0,20,13,15,43,42,11,23
68,6880,1114,0,23,13,0,0,0,15,10.5,9.6660003662,28,27,11,10
68,6880,1115,0,23,13,1,0,0,23,12,8.6660003662,35,43,8,16
68,6880,1116,0,23,13,1,0,0,23,13.5,11.329999924,38,43,17,18
68,6880,1117,0,23,13,1,0,0,20,12.5,10.659999847,36,39,11,17
68,6880,1118,0,23,13,1,0,0,18,9.5,9,39,43,14,20
68,6880,1119,0,23,13,0,0,0,30,17,15,43,53,18,25
68,6880,1120,0,23,13,0,0,0,25,14,15.659999847,46,54,18,26
68,6880,1121,0,23,13,1,0,0,15,14.5,13,36,47,12,22
68,6880,1122,0,23,13,1,0,0,20,8.5,10.659999847,31,37,12,8
68,6880,1123,0,23,13,0,0,0,15,13.5,12.329999924,40,40,14,22
68,6880,1124,0,23,13,0,0,0,20,10.5,8.6660003662,35,27,12,14
69,6980,1125,0,23,15,1,0,1,19,14,7.6666666667,31,41,6,14
69,6980,1126,0,23,15,1,0,0,19,16,9,37,42,8,21
69,6980,1127,0,23,15,0,0,0,,12.5,7,27,,9,
69,6980,1128,0,23,15,0,0,0,19,9,8.6666666667,25,27,9,14
69,6980,1129,0,23,15,0,0,0,19,14,11.666666667,36,43,9,17
69,6980,1130,0,23,15,1,0,0,41,13.5,9.6666666667,35,44,9,18
69,6980,1131,0,23,15,0,0,1,19,10.5,13.666666667,26,26,10,14
69,6980,1132,0,23,15,1,0,0,41,12,11,38,41,10,18
69,6980,1133,0,23,15,0,0,0,15,12.5,10.666666667,40,43,10,27
69,6980,1134,0,23,15,0,0,0,19,15,11.333333333,42,52,10,29
69,6980,1135,0,23,15,0,0,1,15,12,10.333333333,35,30,11,15
69,6980,1136,0,23,15,1,0,0,19,14,8.6666666667,25,35,11,18
69,6980,1137,0,23,15,0,0,1,36,11.5,13.666666667,28,39,11,23
69,6980,1138,0,23,15,0,0,1,15,11,13,34,33,12,18
69,6980,1139,0,23,15,1,0,0,19,15,8.6666666667,38,50,12,21
69,6980,1140,0,23,15,1,0,0,32,11.5,11.333333333,34,44,12,24
69,6980,1141,0,23,15,0,0,0,15,12.5,10,35,45,12,26
69,6980,1142,0,23,15,1,0,0,19,12,10,28,36,14,26
69,6980,1143,0,23,15,0,0,0,49,11.5,12.666666667,31,41,14,27
69,6980,1144,0,23,15,0,0,0,19,11.5,11.666666667,32,44,15,29
69,6980,1145,0,23,15,0,0,0,24,11,14,32,34,16,24
69,6980,1146,0,23,15,0,0,1,15,12.5,11,34,49,16,26
69,6980,1147,0,23,15,0,0,0,27,16.5,10,38,51,16,29
70,7080,1148,1,28,30,1,0,0,41,11.5,13,36,49,5,20
70,7080,1149,1,28,30,1,0,0,41,10.5,12.333333333,29,38,5,22
70,7080,1150,1,28,30,0,0,0,46,9.5,12.333333333,29,42,7,12
70,7080,1151,1,28,30,0,0,0,32,11.5,13,18,32,7,15
70,7080,1152,1,28,30,0,0,0,38,13.5,12,35,43,7,20
70,7080,1153,1,28,30,0,0,0,47,13,10.333333333,27,37,7,21
70,7080,1154,1,28,30,0,0,0,47,10,11,26,36,8,13
70,7080,1155,1,28,30,0,0,0,47,11.5,14.333333333,32,44,9,18
70,7080,1156,1,28,30,1,0,0,45,12.5,12.666666667,39,53,9,25
70,7080,1157,1,28,30,1,0,1,34,8.5,10,27,36,10,9
70,7080,1158,1,28,30,1,0,0,49,12.5,12,34,50,10,18
70,7080,1159,1,28,30,0,0,0,39,7,11.666666667,33,39,10,24
70,7080,1160,1,28,30,0,0,0,41,13,13.666666667,36,46,11,19
70,7080,1161,1,28,30,1,0,0,49,15,12.333333333,34,47,11,30
70,7080,1162,1,28,30,0,0,1,49,13.5,14.666666667,29,46,12,28
70,7080,1163,1,28,30,0,1,0,26,11,13,30,40,13,21
70,7080,1164,1,28,30,0,0,1,49,13.5,10.666666667,36,47,13,29
71,7181,1165,0,42,22,,0,,32,9,9.6666666667,21,,4,
71,7181,1166,0,42,22,0,0,0,30,12.5,10.666666667,33,26,5,11
71,7181,1167,0,42,22,0,0,0,39,11.5,12.333333333,32,,6,
71,7181,1168,0,42,22,1,0,0,49,10,9,42,44,7,10
71,7181,1169,0,42,22,0,0,0,19,10,10,17,,8,
71,7181,1170,0,42,22,1,0,0,32,12.5,10.333333333,29,,9,
71,7181,1171,0,42,22,1,1,0,11,11.5,9,27,34,9,6
71,7181,1172,0,42,22,1,0,0,37,9.5,8.6666666667,,47,9,13
71,7181,1173,0,42,22,1,0,0,28,12,10.333333333,28,45,9,17
71,7181,1174,0,42,22,1,0,0,35,12,9.3333333333,36,39,9,18
71,7181,1175,0,42,22,0,0,0,35,13,12.333333333,34,,10,
71,7181,1176,0,42,22,0,0,0,40,12.5,10.333333333,26,,11,
71,7181,1177,0,42,22,1,0,0,30,13,10.666666667,39,,12,
71,7181,1178,0,42,22,0,0,0,47,14,14,38,,15,
71,7181,1179,0,42,22,1,0,0,49,12.5,13,42,50,15,28
72,7280,1194,0,,29,1,0,0,42,13.5,11.666666667,,36,,15
72,7280,1195,0,,29,1,0,0,40,10.5,10,41,47,3,15
72,7280,1196,0,,29,0,0,0,31,10.5,10.333333333,26,30,6,12
72,7280,1197,0,,29,0,0,0,40,10,6.3333333333,33,38,10,16
72,7280,1198,0,,29,0,0,0,40,14.5,14,42,51,12,25
72,7280,1199,0,,29,1,0,0,32,13,13,41,50,13,19
72,7280,1200,0,,29,1,0,0,45,16.5,11,41,52,14,20
74,7480,1201,1,29,18,1,0,1,17,7.5,7,21,22,7,8
74,7480,1202,1,29,18,0,0,0,23,11.5,10.666666667,34,25,9,20
74,7480,1203,1,29,18,0,0,0,26,11,7.3333333333,23,25,10,11
74,7480,1204,1,29,18,0,0,0,37,13,12.666666667,33,34,11,14
74,7480,1205,1,29,18,0,0,0,20,10,7.3333333333,25,37,11,16
74,7480,1206,1,29,18,1,0,0,37,12,10,38,42,11,17
74,7480,1207,1,29,18,0,0,0,20,10,10.333333333,27,28,11,23
74,7480,1208,1,29,18,0,0,0,23,7.5,13.333333333,28,27,13,26
74,7480,1209,1,29,18,0,0,0,34,11,10.333333333,27,40,14,17
74,7480,1210,1,29,18,0,0,0,31,10.5,12.333333333,28,24,15,13
74,7480,1211,1,29,18,1,0,0,34,12.5,12,35,45,16,24
76,7680,1212,0,17,19,1,0,0,,9.5,10.333333333,36,30,8,14
76,7680,1213,0,17,19,0,0,0,18,11.5,12,31,41,11,25
76,7680,1214,0,17,19,0,0,0,18,10,10.329999924,29,34,12,17
76,7680,1215,0,17,19,1,0,0,38,12.5,10.329999924,32,43,13,13
76,7680,1216,0,17,19,0,0,0,38,12.5,10.659999847,39,37,12,19
76,7680,1217,0,17,19,1,0,0,18,11,8.3330001831,35,37,11,15
76,7680,1218,0,17,19,0,0,0,18,11.5,10,40,42,13,20
76,7680,1219,0,17,19,1,0,0,20,9,7,24,25,8,6
76,7680,1220,0,17,19,0,0,0,20,9,7.6659998894,19,33,5,9
76,7680,1221,0,17,19,1,0,0,17,6.5,9,11,16,6,6
76,7680,1222,0,17,19,1,0,0,23,9.5,11.659999847,37,34,14,13
76,7680,1223,0,17,19,1,0,0,33,12,10.659999847,38,40,11,14
76,7680,1224,0,17,19,0,0,0,45,9.5,10.659999847,29,30,14,19
76,7680,1225,0,17,19,0,0,0,20,13,11.329999924,45,47,15,21
76,7680,1226,0,17,19,0,0,0,15,8.5,8.3330001831,28,36,6,12
76,7680,1227,0,17,19,0,0,0,33,16,11.659999847,40,52,18,27
76,7680,1228,0,17,19,1,0,1,20,6.5,10,20,28,7,6
77,7780,1229,,,,0,0,0,29,10,8.3333333333,26,19,6,8
77,7780,1230,,,,1,0,0,19,8,11.333333333,26,31,7,11
77,7780,1231,,,,1,0,0,46,11.5,9.3333333333,35,42,8,10
77,7780,1232,,,,1,0,0,49,12.5,7,29,39,8,17
77,7780,1233,,,,0,0,0,24,12.5,13,39,45,8,24
77,7780,1234,,,,1,0,0,49,10.5,9.6666666667,35,30,9,7
77,7780,1235,,,,1,0,,29,12,9,41,46,10,16
77,7780,1236,,,,1,0,0,41,15.5,10.666666667,48,49,10,22
77,7780,1237,,,,0,0,0,24,12,10,39,39,11,12
77,7780,1238,,,,1,0,0,41,10.5,11,40,42,11,21
77,7780,1239,,,,1,0,0,19,13,11.666666667,38,43,11,23
77,7780,1240,,,,1,0,0,27,15.5,14,44,49,12,27
77,7780,1241,,,,0,0,0,16,13.5,9.3333333333,29,30,13,14
77,7780,1242,,,,1,0,0,49,12.5,11,39,51,14,22
77,7780,1243,,,,1,0,0,27,12.5,11,41,46,14,24
77,7780,1244,,,,0,0,0,24,12.5,11,40,41,14,29
77,7780,1245,,,,1,0,0,49,15,11.666666667,45,54,14,29
77,7780,1246,,,,1,0,0,19,13,12.666666667,46,55,15,28
78,7880,1247,0,23,21,0,1,1,,10.5,7.3333333333,34,26,9,15
78,7880,1248,0,23,21,1,1,0,,9.5,8.6666666667,27,34,10,10
78,7880,1249,0,23,21,1,1,0,,11.5,9,24,32,10,22
78,7880,1250,0,23,21,0,0,0,43,12.5,11.666666667,38,,13,25
78,7880,1251,0,23,21,1,0,0,43,15,9,41,50,16,
78,7880,1252,0,23,21,0,1,0,,11,11.333333333,34,,17,9
78,7880,1253,0,23,21,0,0,0,33,8.5,12,31,37,8,16
78,7880,1254,0,23,21,0,0,0,27,15,14.329999924,44,43,16,27
78,7880,1255,0,23,21,0,0,0,25,15.5,11,39,50,12,26
78,7880,1256,0,23,21,0,0,0,38,10.5,8.3330001831,30,35,9,17
78,7880,1257,0,23,21,0,0,0,13,12,9.3330001831,36,37,12,23
78,7880,1258,0,23,21,0,0,0,17,11,9.6660003662,36,32,12,15
78,7880,1259,0,23,21,0,0,0,30,10.5,8,23,34,9,15
78,7880,1260,0,23,21,0,0,0,45,14,14.329999924,42,49,16,27
78,7880,1261,0,23,21,1,0,0,47,12.5,11.329999924,27,34,6,19
78,7880,1262,0,23,21,1,0,0,33,11.5,9.6660003662,28,34,13,13
78,7880,1263,0,23,21,1,0,0,17,12,11.659999847,38,39,17,23
78,7880,1264,0,23,21,1,0,0,20,8,9.6660003662,23,40,13,17
78,7880,1265,0,23,21,1,0,0,17,11,9.6660003662,31,34,11,16
78,7880,1266,0,23,21,1,0,0,30,12.5,13.329999924,35,51,18,29
78,7880,1267,0,23,21,1,0,0,20,10,7.6659998894,40,49,16,27
78,7880,1268,0,23,21,1,0,1,27,8.5,8,28,39,11,16
78,7880,1269,0,23,21,1,0,0,27,12,11,35,37,14,24
79,7980,1270,0,17,20,1,0,0,33,8,11.659999847,42,45,14,21
79,7980,1271,0,17,20,1,0,0,33,13,9.3330001831,35,48,17,26
79,7980,1272,0,17,20,1,0,0,20,9.5,10.329999924,30,40,5,12
79,7980,1273,0,17,20,1,0,1,23,11,7.6659998894,29,36,9,16
79,7980,1274,0,17,20,1,0,0,45,13.5,8,35,44,10,21
79,7980,1275,0,17,20,1,0,0,33,13,11,43,48,16,26
79,7980,1276,0,17,20,1,0,0,37,14.5,13,46,49,11,25
79,7980,1277,0,17,20,0,0,0,25,9,9.3330001831,31,31,14,18
79,7980,1278,0,17,20,0,0,0,43,13,10,38,41,12,21
79,7980,1279,0,17,20,0,0,0,20,11,11.659999847,39,42,12,19
79,7980,1280,0,17,20,0,0,0,37,15.5,11.659999847,42,46,13,29
79,7980,1281,0,17,20,0,0,1,20,11.5,7,32,28,11,10
79,7980,1282,0,17,20,0,0,0,20,12.5,11,43,45,9,26
79,7980,1283,0,17,20,0,0,1,30,13.5,9.3330001831,35,46,8,18
80,8080,1284,0,28,19,1,0,0,,12,6.3333333333,33,35,8,16
80,8080,1285,0,28,19,0,0,0,,12.5,7,24,44,11,9
80,8080,1286,0,28,19,1,0,0,,10,11,25,33,12,22
80,8080,1287,0,28,19,1,0,0,,11,12.666666667,34,39,13,16
80,8080,1288,0,28,19,1,1,0,,9.5,9.6666666667,31,41,13,17
80,8080,1289,0,28,19,1,0,0,,12,8.3333333333,33,36,14,10
80,8080,1290,0,28,19,1,0,0,,11,13,23,40,14,25
80,8080,1291,0,28,19,0,0,1,25,9,7,23,26,9,16
80,8080,1292,0,28,19,0,0,1,17,7,9,22,28,6,12
80,8080,1293,0,28,19,1,0,0,20,9.5,9.6660003662,36,46,9,14
80,8080,1294,0,28,19,1,0,0,40,12,13,38,42,13,21
80,8080,1295,0,28,19,0,0,0,40,12,12,38,48,8,21
80,8080,1296,0,28,19,1,0,0,20,11.5,7.6659998894,37,41,11,9
80,8080,1297,0,28,19,0,0,0,43,10,12.329999924,35,45,15,20
80,8080,1298,0,28,19,1,0,0,47,11,12.329999924,36,45,14,24
80,8080,1299,0,28,19,0,0,0,20,13.5,13,37,45,13,22
80,8080,1300,0,28,19,1,0,0,47,11.5,15,49,50,19,27
80,8080,1301,0,28,19,0,0,1,17,7.5,7.3330001831,37,24,12,17
80,8080,1302,0,28,19,1,0,0,50,14,12.659999847,46,54,13,27
80,8080,1303,0,28,19,0,0,1,17,7.5,8,26,20,5,7
80,8080,1304,0,28,19,1,0,0,50,13.5,11,38,52,19,25
80,8080,1305,0,28,19,1,0,0,33,11,11.659999847,39,44,15,27
80,8080,1306,0,28,19,0,0,0,17,10,13,37,45,17,26
80,8080,1307,0,28,19,0,0,0,10,9.5,7,28,34,10,17
80,8080,1308,0,28,19,0,1,0,10,11,7.6659998894,35,46,15,20
80,8080,1309,0,28,19,1,0,0,15,12,13.659999847,36,39,11,13
80,8080,1310,0,28,19,1,0,0,30,14,13.329999924,34,51,14,24
80,8080,1311,0,28,19,0,0,0,17,10.5,7.6659998894,27,28,11,14
83,8380,1312,0,29,24,1,0,1,28,12,11,,40,,19
83,8380,1313,0,29,24,1,0,0,41,12,11.666666667,45,53,1,28
83,8380,1314,0,29,24,0,0,0,49,10,9.6666666667,40,47,3,19
83,8380,1315,0,29,24,0,0,1,34,13,9,38,41,4,10
83,8380,1316,0,29,24,1,0,0,34,12.5,10,34,42,6,20
83,8380,1317,0,29,24,0,0,0,11,10,9.3333333333,24,35,8,13
83,8380,1318,0,29,24,0,0,1,23,11,11.666666667,24,29,8,16
83,8380,1319,0,29,24,1,0,0,41,12,10.333333333,35,49,9,18
83,8380,1320,0,29,24,1,0,0,23,9.5,10.666666667,39,44,9,18
83,8380,1321,0,29,24,1,0,0,36,12,11.333333333,44,42,10,23
83,8380,1322,0,29,24,1,0,0,49,13.5,11.333333333,44,51,10,25
83,8380,1323,0,29,24,1,0,0,28,10,11,29,35,11,24
83,8380,1324,0,29,24,1,0,0,38,14,13,42,53,11,28
83,8380,1325,0,29,24,0,0,0,28,13.5,10.333333333,34,47,12,27
83,8380,1326,0,29,24,1,0,0,31,13,10.666666667,44,50,12,28
83,8380,1327,0,29,24,1,0,0,23,11,10.666666667,36,34,13,21
83,8380,1328,0,29,24,1,0,0,29,13.5,9,35,47,14,24
83,8380,1329,0,29,24,0,0,0,26,12.5,13,39,47,14,24
83,8380,1330,0,29,24,0,0,0,31,13,13.333333333,36,46,14,27
83,8380,1331,0,29,24,1,0,0,43,15.5,12,44,56,14,28
83,8380,1332,0,29,24,0,0,1,20,12,14,45,41,14,28
83,8380,1333,0,29,24,0,0,0,39,14,13,38,33,15,10
83,8380,1334,0,29,24,1,0,0,36,13,7.6666666667,34,47,15,11
83,8380,1335,0,29,24,1,0,0,40,11,13.333333333,36,41,15,24
83,8380,1336,0,29,24,1,0,0,37,16.5,10.333333333,47,53,16,26
83,8380,1337,0,29,24,1,0,0,43,12,10.333333333,38,53,17,27
83,8380,1338,0,29,24,0,0,0,43,12,14.666666667,44,57,18,29
84,8480,1339,1,30,23,1,0,1,32,11.5,5.3333333333,,35,,4
84,8480,1340,1,30,23,0,0,0,29,13,10.666666667,,39,,8
84,8480,1341,1,30,23,0,0,1,19,15.5,10.666666667,,32,,14
84,8480,1342,1,30,23,0,0,0,19,12,10.333333333,,38,,14
84,8480,1343,1,30,23,0,0,0,33,11,8,,41,,19
84,8480,1344,1,30,23,1,0,0,20,11,10,,41,,20
84,8480,1345,1,30,23,0,0,0,30,13,11.666666667,,38,,22
84,8480,1346,1,30,23,0,0,0,,12,10.666666667,,46,,22
84,8480,1347,1,30,23,1,0,0,17,14,12.333333333,,45,,24
84,8480,1348,1,30,23,1,0,0,39,12,9,,57,,24
84,8480,1349,1,30,23,1,0,0,26,11.5,16,,45,,25
84,8480,1350,1,30,23,1,0,0,21,12,10.333333333,,47,,25
84,8480,1351,1,30,23,0,0,0,20,11.5,12.666666667,,41,,26
84,8480,1352,1,30,23,0,0,0,29,14.5,15,,46,,26
84,8480,1353,1,30,23,0,0,0,49,14,14,,47,,26
84,8480,1354,1,30,23,1,0,0,27,13,12.333333333,,53,,26
84,8480,1355,1,30,23,0,0,0,46,16.5,11,,57,,27
84,8480,1356,1,30,23,0,0,0,49,12,9,,46,,28
84,8480,1357,1,30,23,1,0,0,46,15.5,12,,54,,28
84,8480,1358,1,30,23,1,0,0,26,15,13,,50,,29
84,8480,1359,1,30,23,0,0,0,28,13.5,12.666666667,,53,,29
85,8580,1360,0,20,17,0,0,0,19,8.5,11,,26,,9
85,8580,1361,0,20,17,1,0,0,19,8.5,7.6666666667,,38,,9
85,8580,1362,0,20,17,0,0,0,41,11.5,11,,30,,11
85,8580,1363,0,20,17,0,0,0,20,10.5,9.3333333333,,40,,16
85,8580,1364,0,20,17,1,0,0,47,11.5,11.333333333,,41,,16
85,8580,1365,0,20,17,1,0,0,40,12,8.6666666667,,51,,18
85,8580,1366,0,20,17,0,0,0,20,10.5,11.666666667,,32,,20
85,8580,1367,0,20,17,0,0,0,34,11.5,11.333333333,,44,,21
85,8580,1368,0,20,17,0,0,0,29,12.5,10.333333333,,46,,21
85,8580,1369,0,20,17,0,0,0,38,13.5,9,,52,,21
85,8580,1370,0,20,17,0,0,0,20,11,10,,38,,22
85,8580,1371,0,20,17,1,0,0,40,13.5,14.666666667,,57,,23
85,8580,1372,0,20,17,1,0,0,47,12,10.666666667,,45,,24
85,8580,1373,0,20,17,0,0,0,43,12,11,,43,,25
85,8580,1374,0,20,17,0,0,0,20,14.5,12.666666667,,34,,26
85,8580,1375,0,20,17,1,0,0,28,12,10.333333333,,51,,26
85,8580,1376,0,20,17,1,0,0,43,13,11.333333333,,56,,29
85,8580,1377,0,20,17,1,0,0,23,12.5,12,,53,,30
86,8680,1378,0,32,22,1,0,0,,,9,28,41,8,15
86,8680,1379,0,32,22,0,0,0,41,13.5,10.333333333,43,,9,
86,8680,1380,0,32,22,1,0,0,,11.5,8.6666666667,35,46,10,22
86,8680,1381,0,32,22,0,0,0,40,,,37,46,10,24
86,8680,1382,0,32,22,0,0,0,,12,10.666666667,36,42,11,26
86,8680,1383,0,32,22,1,0,0,,9.5,11,33,38,11,27
86,8680,1384,0,32,22,1,0,0,,12.5,11.333333333,38,40,13,19
86,8680,1385,0,32,22,0,0,0,50,11.5,12,29,42,15,20
86,8680,1386,0,32,22,1,0,0,20,13.5,10.329999924,37,45,11,28
86,8680,1387,0,32,22,1,0,0,50,13,12.659999847,37,41,12,28
86,8680,1388,0,32,22,0,0,0,30,11,10.329999924,34,46,3,21
86,8680,1389,0,32,22,1,0,0,30,12.5,11,40,48,12,27
86,8680,1390,0,32,22,0,0,0,30,14,11.329999924,39,42,7,30
86,8680,1391,0,32,22,0,0,0,43,10.5,8,25,28,6,16
86,8680,1392,0,32,22,1,0,1,30,7,9,25,25,6,19
86,8680,1393,0,32,22,1,0,0,23,14.5,10,39,46,9,23
86,8680,1394,0,32,22,0,0,0,50,15.5,11.329999924,37,49,8,29
86,8680,1395,0,32,22,1,0,0,35,11,6.6659998894,26,35,6,8
86,8680,1396,0,32,22,0,0,0,30,12.5,8,32,42,4,23
86,8680,1397,0,32,22,0,0,0,50,13,11.329999924,35,51,12,28
86,8680,1398,0,32,22,0,0,0,50,10.5,9.6660003662,30,43,7,26
86,8680,1399,0,32,22,0,0,0,20,11,8.6660003662,22,31,6,19
86,8680,1400,0,32,22,0,0,0,35,9.5,9,17,40,7,19
86,8680,1401,0,32,22,1,0,0,23,11,12.329999924,30,41,10,25
86,8680,1402,0,32,22,1,0,0,33,11.5,10,35,30,10,12
86,8680,1403,0,32,22,0,0,0,50,16,16,44,48,17,29
86,8680,1404,0,32,22,1,0,1,23,10.5,12,31,42,9,25
86,8680,1405,0,32,22,0,0,0,50,15,9.6660003662,38,51,10,25
86,8680,1406,0,32,22,0,0,0,50,15.5,13,42,53,15,30
86,8680,1407,0,32,22,0,0,0,40,12.5,13,35,50,15,26
86,8680,1408,0,32,22,0,0,0,50,10.5,11.659999847,35,41,9,18
87,8780,1409,0,28,16,1,0,0,34,11.5,12.333333333,,45,11,20
